user_id,compound_score,risk_flag,segment,total_views,total_cart_adds,automation_trigger,recency,frequency,monetary,recency_score,monetary_score,frequency_score,actual_profit,predicted_profit_90_days,prob_minmax,prob_sigmoid,primary_driver,primary_barrier
U000001,0.1468,0.0,Dormant High-Value Customer,4.0,1.0,Keep Current Strategy,479.0,1.0,1392.89,1.0,4.0,1.0,,222.2251111060567,0.35959399208876985,0.8715507481075354,Review Sentiment,Browsing Engagement
U000002,0.04314999999999998,1.0,Dormant High-Value Customer,5.0,1.0,Keep Current Strategy,236.0,4.0,1808.15,3.0,4.0,4.0,,149.94379506772037,0.20806416294273836,0.5944773598262567,Time Since Last Order,Purchase Frequency
U000003,0.0,0.0,General Potential Customer,9.0,1.0,Keep Current Strategy,313.0,1.0,26.28,2.0,1.0,1.0,261.6825,94.29780192055534,0.09140845858645624,0.3106484838437794,Purchase Frequency,Review Sentiment
U000004,0.12218571428571427,1.0,General Potential Customer,3.0,1.0,Keep Current Strategy,60.0,2.0,4065.85,5.0,5.0,2.0,868.7475,181.4263529516454,0.2740638829077293,0.7407517961730066,Review Sentiment,Time Since Last Order
U000005,0.5719,0.0,General Potential Customer,5.0,0.0,Keep Current Strategy,210.0,1.0,12.66,3.0,1.0,1.0,,167.78136186203147,0.245458659845497,0.6814905746228969,Purchase Frequency,Browsing Engagement
U000006,0.09446666666666666,1.0,VVIP Loyal High-Value Customer,3.0,1.0,Trigger: VIP Concierge Outreach,12.0,6.0,9952.28,5.0,5.0,5.0,,140.27495031431874,0.18779449335419093,0.5442697126373485,Review Sentiment,Purchase Frequency
U000008,0.21005,0.0,Dormant High-Value Customer,6.0,1.0,Keep Current Strategy,197.0,2.0,1520.91,3.0,4.0,2.0,,165.36252650265288,0.2403878375524355,0.6702587070555825,Review Sentiment,Time Since Last Order
U000009,0.6696,0.0,Dormant High-Value Customer,5.0,3.0,Keep Current Strategy,164.0,1.0,1297.61,3.0,4.0,1.0,,150.77207840964633,0.20980056786956588,0.5987030485523347,Purchase Frequency,Browsing Engagement
U000010,-0.0037800000000000056,0.0,VVIP Loyal High-Value Customer,6.0,0.0,Keep Current Strategy,27.0,5.0,1631.68,5.0,4.0,4.0,,108.80833772563258,0.12182820094691002,0.38001324841131356,Browsing Engagement,Review Sentiment
U000011,0.0,0.0,General Potential Customer,8.0,1.0,Keep Current Strategy,333.0,2.0,1050.88,2.0,3.0,2.0,,81.81189106289982,0.06523311974799825,0.25697168574890317,Time Since Last Order,Review Sentiment
U000012,0.0,0.0,General Potential Customer,5.0,0.0,Keep Current Strategy,103.0,2.0,635.59,4.0,3.0,2.0,,57.563395763220285,0.014398816345719503,0.1713921415494689,Purchase Frequency,Review Sentiment
U000013,0.5048,0.0,General Potential Customer,9.0,1.0,Keep Current Strategy,373.0,1.0,193.29,2.0,1.0,1.0,,164.23588776137913,0.23802596334577378,0.6649590420179126,Purchase Frequency,Time Since Last Order
U000014,0.0,1.0,General Potential Customer,8.0,0.0,Keep Current Strategy,145.0,1.0,223.9,3.0,1.0,1.0,,59.570823394197056,0.01860716758525144,0.17752027683680133,Purchase Frequency,Review Sentiment
U000016,0.0,0.0,General Potential Customer,3.0,1.0,Keep Current Strategy,244.0,1.0,954.86,2.0,3.0,1.0,,64.0177297386492,0.027929617639230075,0.19170450513602963,Purchase Frequency,Review Sentiment
U000017,0.34,0.0,General Potential Customer,10.0,0.0,Keep Current Strategy,203.0,1.0,479.8,3.0,2.0,1.0,,194.16824437015293,0.30077585683775143,0.7891792006802607,Review Sentiment,Time Since Last Order
U000018,0.0,0.0,Recent New Customer,4.0,0.0,Keep Current Strategy,,,,,,,-13.23,84.96289510254518,0.07183885315097999,0.2699310135060452,Time Since Last Order,Review Sentiment
U000019,0.4201,0.0,General Potential Customer,5.0,0.0,Keep Current Strategy,13.0,2.0,341.53000000000003,5.0,2.0,2.0,,143.32146241177836,0.19418117089302447,0.5602370959529381,Review Sentiment,Time Since Last Order
U000020,0.34,0.0,General Potential Customer,5.0,0.0,Keep Current Strategy,2.0,3.0,521.96,5.0,2.0,3.0,,159.54959458349026,0.22820166512468046,0.6424770751992142,Review Sentiment,Purchase Frequency
