user_id,abandoned_product_ids,total_cart_adds,total_views,segment,predicted_profit_90_days,risk_flag
U008394,"P000927, P000930, P000935, P000942, P001408, P001430, P001858",7.0,4.0,General Potential Customer,105.40516197348242,0.0
U000821,"P000154, P000361, P000376, P000397, P000504, P001433, P001679",7.0,6.0,General Potential Customer,160.9519360780451,0.0
U002729,"P000081, P000291, P000604, P000940, P000959, P001607, P001748",7.0,8.0,General Potential Customer,107.7464513486298,0.0
U008350,"P000160, P000455, P001320, P001634, P001785, P001858",6.0,6.0,Recent New Customer,156.9214304968405,0.0
U005040,"P000088, P000394, P000421, P001369, P001455, P001981",6.0,3.0,Recent New Customer,164.10303103243137,0.0
U001897,"P000489, P000827, P001470, P001521, P001790, P001966",6.0,2.0,Dormant High-Value Customer,106.49000678289462,1.0
U002844,"P000265, P001136, P001220, P001271, P001345, P001943",6.0,3.0,Dormant High-Value Customer,160.47586492804604,0.0
U008022,"P000121, P000390, P001008, P001019, P001199, P001283",6.0,6.0,General Potential Customer,153.7823221441334,0.0
U007557,"P000040, P000112, P001348, P001619, P001678, P001688",6.0,5.0,General Potential Customer,174.7575416370973,0.0
U004538,"P000336, P000852, P001164, P001330, P001655, P001936",6.0,7.0,Dormant High-Value Customer,181.52053264345628,0.0
U003945,"P000396, P000463, P000891, P001120, P001296, P001863",6.0,9.0,General Potential Customer,215.75869186280323,0.0
U004371,"P000793, P000844, P001555, P001576, P001610, P001867",6.0,6.0,At-Risk Repeat Customer,113.97534068860878,0.0
U003908,"P000104, P000444, P000502, P001482, P001643, P001719",6.0,4.0,General Potential Customer,107.00936014456074,0.0
U001182,"P000041, P000535, P001596, P001846, P001963",5.0,6.0,General Potential Customer,126.65086588676976,0.0
U005141,"P000480, P001155, P001624, P001758, P001931",5.0,7.0,General Potential Customer,92.42307789474224,0.0
U003007,"P000190, P000256, P000257, P000503, P000950",5.0,4.0,General Potential Customer,221.1800718229988,0.0
U009439,"P000095, P000732, P001150, P001231, P001982",5.0,4.0,Dormant High-Value Customer,133.53788888706114,1.0
U001526,"P000508, P000635, P001011, P001038, P001844",5.0,5.0,General Potential Customer,92.82874359432701,0.0
U006034,"P000002, P000317, P001137, P001239, P001643",5.0,6.0,Recent New Customer,175.31715922780523,0.0
U004737,"P000169, P000401, P000820, P001021, P001533",5.0,8.0,VVIP Loyal High-Value Customer,162.69396541512737,0.0
U004734,"P000082, P000546, P000982, P001653, P001823",5.0,5.0,VVIP Loyal High-Value Customer,92.70325763914892,0.0
U004291,"P000056, P000246, P001079, P001973",5.0,8.0,Dormant High-Value Customer,237.5865795897921,0.0
U005754,"P000290, P000496, P001355, P001606, P001963",5.0,4.0,General Potential Customer,128.30060880503015,0.0
U006588,"P000318, P000371, P000662, P000974, P001917",5.0,3.0,General Potential Customer,115.7871406807684,0.0
U004363,"P000436, P001137, P001194, P001334, P001348",5.0,6.0,General Potential Customer,125.05152472764921,0.0
U003135,"P000538, P000675, P001151, P001683, P001826",5.0,1.0,Dormant High-Value Customer,93.04300289921247,0.0
U007056,"P000091, P000603, P001560, P001952, P001979",5.0,7.0,General Potential Customer,237.81474965925605,0.0
U004115,"P000096, P000102, P000587, P000679, P001990",5.0,5.0,General Potential Customer,168.02568989415195,0.0
U000824,"P000216, P000750, P000998, P001204, P001350",5.0,6.0,General Potential Customer,72.2376358502161,0.0
U004086,"P000391, P000651, P000700, P001499, P001641",5.0,8.0,Dormant High-Value Customer,182.0349352129835,0.0
U009186,"P000053, P001120, P001347, P001648, P001844",5.0,7.0,At-Risk Repeat Customer,119.48304491366002,0.0
