user_id,segment,recency,frequency,monetary,predicted_profit_90_days,primary_driver
U000001,沉睡的高價值客,479.0,1.0,1392.89,222.2251111060567,Review Sentiment
U000004,一般潛力客,60.0,2.0,4065.85,181.4263529516454,Review Sentiment
U000006,VVIP 忠誠高價值客,12.0,6.0,9952.28,140.27495031431874,Review Sentiment
U000010,VVIP 忠誠高價值客,27.0,5.0,1631.68,108.80833772563258,Browsing Engagement
U000017,一般潛力客,203.0,1.0,479.8,194.16824437015293,Review Sentiment
U000023,VVIP 忠誠高價值客,98.0,4.0,5006.8099999999995,154.7048362799428,Review Sentiment
U000024,一般潛力客,410.0,1.0,148.16,192.45775083311204,Purchase Frequency
U000025,一般潛力客,92.0,2.0,858.9200000000001,185.86512793662686,Review Sentiment
U000029,一般潛力客,125.0,1.0,247.1,187.64132096080954,Review Sentiment
U000032,VVIP 忠誠高價值客,19.0,3.0,4170.04,134.7266406530875,Review Sentiment
U000036,VVIP 忠誠高價值客,171.0,3.0,2792.59,150.12449515935882,Review Sentiment
U000040,一般潛力客,122.0,1.0,1098.99,182.40662263622465,Review Sentiment
U000044,VVIP 忠誠高價值客,73.0,3.0,3958.71,134.7266406530875,Review Sentiment
U000047,沉睡的高價值客,306.0,2.0,2936.69,176.5695340172834,Review Sentiment
U000050,沉睡的高價值客,588.0,1.0,1953.62,256.1261474184132,Time Since Last Order
U000051,一般潛力客,7.0,1.0,586.6,193.76712072005893,Purchase Frequency
U000056,即將流失的回購客,319.0,4.0,840.08,183.6398271048923,Review Sentiment
U000065,一般潛力客,370.0,1.0,37.9,174.21280356185906,Review Sentiment
U000066,一般潛力客,246.0,1.0,67.51,173.56385033985822,Review Sentiment
U000067,一般潛力客,437.0,1.0,217.17,173.34679282642196,Review Sentiment
U000069,近期新客,7.0,1.0,688.64,170.60821893434465,Purchase Frequency
U000072,一般潛力客,243.0,1.0,247.88,225.69763266920955,Time Since Last Order
U000074,沉睡的高價值客,215.0,1.0,2571.53,250.25283958666114,Review Sentiment
