affinity_level,product_a_id,product_a_name,product_a_category,product_b_id,product_b_name,product_b_category,co_occurrence_count,support,confidence_A_to_B
product,P001214,Nimbus Nice,Toys,P001230,Orion Season,Toys,3,0.0001,0.1875
product,P001312,Harbor Group,Sports,P000091,Orion Involve,Books,2,0.0001,0.1818
product,P000093,NeoTech Peace,Sports,P000593,Willow Military,Books,2,0.0001,0.1667
product,P001775,Zenith Religious,Groceries,P000934,Orion Network,Pet Supplies,3,0.0001,0.1667
product,P000260,Harbor System,Groceries,P001336,Solace Section,Home & Kitchen,2,0.0001,0.1538
product,P000523,GreenLeaf Relate,Beauty,P001578,Pulse Sea,Pet Supplies,2,0.0001,0.1538
product,P000260,Harbor System,Groceries,P000547,Everest Region,Clothing,2,0.0001,0.1538
product,P000511,Nimbus Should,Clothing,P001841,Willow Local,Toys,2,0.0001,0.1538
product,P001076,Pulse Take,Automotive,P001200,Nimbus Us,Toys,2,0.0001,0.1538
product,P000250,Harbor Seek,Sports,P001638,Harbor Story,Home & Kitchen,2,0.0001,0.1429
product,P001884,Everest Type,Groceries,P000762,Everest Response,Clothing,2,0.0001,0.1429
product,P001037,Solace Growth,Home & Kitchen,P001481,Harbor Act,Beauty,2,0.0001,0.1429
product,P001432,Nimbus Camera,Automotive,P001107,Zenith Fly,Pet Supplies,2,0.0001,0.1333
product,P001743,Zenith Happy,Home & Kitchen,P001376,Harbor Few,Pet Supplies,2,0.0001,0.1333
product,P001089,NeoTech Person,Books,P001118,Willow Attorney,Sports,2,0.0001,0.1333
product,P000119,Pulse Order,Clothing,P001773,Orion Event,Groceries,2,0.0001,0.1333
product,P000725,Astra Into,Electronics,P001460,Solace Top,Pet Supplies,2,0.0001,0.1333
product,P001094,Astra Type,Groceries,P001374,Orion Particularly,Clothing,2,0.0001,0.1333
product,P000067,Acme Their,Books,P001156,Harbor Hear,Books,2,0.0001,0.1333
product,P000119,Pulse Order,Clothing,P001579,Willow Know,Automotive,2,0.0001,0.1333
product,P000792,Zenith Might,Sports,P000332,GreenLeaf Painting,Beauty,2,0.0001,0.1333
product,P001282,Solace Movie,Beauty,P001719,Zenith Natural,Home & Kitchen,2,0.0001,0.1333
product,P001978,Willow Imagine,Home & Kitchen,P001088,Everest Church,Beauty,2,0.0001,0.1333
product,P000173,Harbor Itself,Clothing,P000294,Zenith Recently,Automotive,2,0.0001,0.1333
product,P001089,NeoTech Person,Books,P001929,Willow Front,Books,2,0.0001,0.1333
product,P000792,Zenith Might,Sports,P000545,Pulse Understand,Sports,2,0.0001,0.1333
product,P001249,GreenLeaf Even,Books,P001334,Solace Personal,Beauty,3,0.0001,0.1304
product,P001030,Acme Figure,Home & Kitchen,P001344,Orion Second,Pet Supplies,3,0.0001,0.1304
product,P001843,Nimbus Near,Toys,P001795,Orion Focus,Home & Kitchen,2,0.0001,0.125
product,P000114,Zenith Create,Electronics,P000280,Zenith Cold,Groceries,2,0.0001,0.125
product,P000268,Willow Officer,Automotive,P001719,Zenith Natural,Home & Kitchen,2,0.0001,0.125
product,P000874,Acme American,Electronics,P001137,NeoTech More,Home & Kitchen,2,0.0001,0.125
product,P001702,Pulse Set,Beauty,P000767,Everest Family,Automotive,2,0.0001,0.125
product,P001878,Pulse Computer,Home & Kitchen,P000179,NeoTech Movement,Home & Kitchen,2,0.0001,0.125
product,P001897,Nimbus Expert,Beauty,P000887,Acme Democratic,Automotive,2,0.0001,0.125
product,P000234,NeoTech Fear,Electronics,P000395,Harbor Opportunity,Books,2,0.0001,0.125
product,P000976,Solace Billion,Automotive,P000237,Zenith Thus,Automotive,2,0.0001,0.125
product,P001204,NeoTech Plant,Automotive,P001107,Zenith Fly,Pet Supplies,2,0.0001,0.125
