product_id,product_name,category,brand,price,avg_rating_overall,rating_30d,rating_45d,rating_60d,total_risk_reviews,top_pain_points
P001387,Harbor Success,Sports,Harbor,20.14,3.33,3.0,3.0,3.0,4,"arrived, damaged, expected"
P001957,Zenith Conference,Pet Supplies,Zenith,45.18,3.0,,,,4,"arrived, damaged, expected"
P000446,GreenLeaf Opportunity,Clothing,GreenLeaf,68.43,3.67,,,,4,"arrived, damaged, expected"
P000448,Zenith Stop,Pet Supplies,Zenith,66.33,3.62,,,,4,"arrived, damaged, expected"
P000122,NeoTech Tell,Toys,NeoTech,10.62,3.33,,,,4,"expected, quality, poor"
P000782,Harbor None,Pet Supplies,Harbor,35.82,3.0,3.0,3.0,3.0,4,"arrived, damaged, expected"
P000434,NeoTech Anything,Toys,NeoTech,52.83,3.42,,,,4,"expected, quality, poor"
P001639,Everest Single,Clothing,Everest,253.6,3.42,,,3.0,4,"expected, quality, poor"
P000488,Solace Level,Home & Kitchen,Solace,264.67,3.54,,,3.0,4,"arrived, damaged, expected"
P001540,Harbor Whom,Automotive,Harbor,148.66,3.25,,3.0,3.0,4,"arrived, damaged, expected"
P000164,Astra Town,Books,Astra,60.85,3.09,2.0,2.0,2.0,3,"arrived, damaged, expected"
P000399,Astra Reveal,Books,Astra,37.4,3.62,,,,3,"expected, quality, poor"
P000287,NeoTech Vote,Pet Supplies,NeoTech,69.34,3.42,,4.0,3.5,3,"arrived, damaged, expected"
P000851,Nimbus Serve,Books,Nimbus,67.08,2.83,3.0,3.0,4.0,3,"arrived, damaged, expected"
P001740,Pulse Phone,Beauty,Pulse,184.9,3.33,3.0,3.0,3.0,3,"expected, quality, poor"
P001180,Astra Question,Groceries,Astra,21.71,3.33,,,,3,"expected, quality, poor"
P001915,Solace Or,Groceries,Solace,2.41,3.2,3.0,3.5,3.5,3,"arrived, damaged, expected"
P000293,Astra Season,Sports,Astra,122.71,3.36,4.0,4.0,3.5,3,"expected, quality, poor"
P001623,Solace Support,Toys,Solace,82.98,3.44,,,,3,"arrived, damaged, expected"
P001920,Pulse Against,Sports,Pulse,175.83,3.43,,2.0,2.0,3,"arrived, damaged, expected"
P000054,GreenLeaf Hair,Automotive,GreenLeaf,435.87,2.8,3.0,3.0,3.0,3,"expected, quality, poor"
P000187,Harbor For,Sports,Harbor,134.5,3.17,,,,3,"arrived, damaged, expected"
P001628,Zenith Necessary,Electronics,Zenith,473.62,2.88,,,,3,"arrived, damaged, expected"
P000392,Nimbus Subject,Home & Kitchen,Nimbus,387.23,3.5,,3.0,3.0,3,"expected, quality, poor"
P001134,NeoTech Son,Beauty,NeoTech,145.87,2.8,1.0,1.0,1.0,3,"expected, quality, poor"
P001593,Harbor Eat,Clothing,Harbor,181.12,3.22,,,,3,"arrived, damaged, expected"
P001484,Astra Key,Electronics,Astra,475.65,3.14,,,,3,"expected, quality, poor"
P000133,Solace Team,Pet Supplies,Solace,25.97,3.64,,,,3,"expected, quality, poor"
P000599,Nimbus Analysis,Groceries,Nimbus,11.71,3.2,,,,3,"expected, quality, poor"
P000610,GreenLeaf Side,Home & Kitchen,GreenLeaf,101.29,3.53,3.5,3.5,3.5,3,"expected, quality, poor"
P001565,Pulse Decision,Toys,Pulse,50.01,3.3,,3.0,3.5,3,"arrived, damaged, expected"
P001794,Willow Treatment,Automotive,Willow,576.97,3.11,,,3.0,3,"arrived, damaged, expected"
P001488,Zenith Like,Books,Zenith,46.59,3.4,5.0,5.0,5.0,3,"arrived, damaged, expected"
P001572,Everest Stop,Pet Supplies,Everest,67.51,3.73,,,3.0,3,"expected, quality, poor"
P001069,Nimbus Cost,Electronics,Nimbus,250.79,3.0,2.0,2.0,2.0,3,"arrived, damaged, expected"
P001111,Pulse Indeed,Beauty,Pulse,103.67,3.38,,4.0,4.0,3,"arrived, damaged, expected"
P001034,Nimbus Imagine,Home & Kitchen,Nimbus,15.62,3.38,,,,3,"arrived, damaged, expected"
P001841,Willow Local,Toys,Willow,58.53,3.42,,,,3,"expected, quality, poor"
P000104,Solace Interesting,Beauty,Solace,40.38,3.42,,,,3,"arrived, damaged, expected"
P000102,Pulse Surface,Groceries,Pulse,6.16,3.6,5.0,5.0,5.0,3,"expected, quality, poor"
P001460,Solace Top,Pet Supplies,Solace,46.12,2.5,,,,3,"arrived, damaged, expected"
P001133,GreenLeaf High,Electronics,GreenLeaf,521.0,3.56,,,,3,"expected, quality, poor"
P001853,Orion After,Electronics,Orion,351.45,3.43,,,3.0,3,"arrived, damaged"
P001449,Pulse Weight,Automotive,Pulse,354.29,2.33,,,4.0,3,"expected, quality, poor"
P000384,Nimbus Take,Automotive,Nimbus,596.56,3.31,5.0,5.0,5.0,3,"expected, quality, poor"
P001359,Orion Strategy,Beauty,Orion,100.06,3.45,3.0,3.0,3.5,3,"arrived, damaged"
P000892,GreenLeaf Measure,Toys,GreenLeaf,67.1,3.29,,,,3,"expected, quality, poor"
P000263,Solace Most,Groceries,Solace,12.76,3.33,,,,3,"expected, quality, poor"
P001328,NeoTech Act,Toys,NeoTech,31.04,3.45,3.0,3.0,4.0,3,"arrived, damaged, expected"
