product_id,product_name,category,brand,price,avg_rating_overall,rating_30d,total_risk_reviews,top_pain_points,action_required
P001387,Harbor Success,Sports,Harbor,20.14,3.33,3.0,4,"arrived, damaged, expected",Product Team Review
P001957,Zenith Conference,Pet Supplies,Zenith,45.18,3.0,,4,"arrived, damaged, expected",Product Team Review
P000446,GreenLeaf Opportunity,Clothing,GreenLeaf,68.43,3.67,,4,"arrived, damaged, expected",Product Team Review
P000448,Zenith Stop,Pet Supplies,Zenith,66.33,3.62,,4,"arrived, damaged, expected",Product Team Review
P000122,NeoTech Tell,Toys,NeoTech,10.62,3.33,,4,"expected, quality, poor",Product Team Review
P000782,Harbor None,Pet Supplies,Harbor,35.82,3.0,3.0,4,"arrived, damaged, expected",Product Team Review
P000434,NeoTech Anything,Toys,NeoTech,52.83,3.42,,4,"expected, quality, poor",Product Team Review
P001639,Everest Single,Clothing,Everest,253.6,3.42,,4,"expected, quality, poor",Product Team Review
P000488,Solace Level,Home & Kitchen,Solace,264.67,3.54,,4,"arrived, damaged, expected",Product Team Review
P001540,Harbor Whom,Automotive,Harbor,148.66,3.25,,4,"arrived, damaged, expected",Product Team Review
P000164,Astra Town,Books,Astra,60.85,3.09,2.0,3,"arrived, damaged, expected",Product Team Review
P000399,Astra Reveal,Books,Astra,37.4,3.62,,3,"expected, quality, poor",Product Team Review
P000287,NeoTech Vote,Pet Supplies,NeoTech,69.34,3.42,,3,"arrived, damaged, expected",Product Team Review
P000851,Nimbus Serve,Books,Nimbus,67.08,2.83,3.0,3,"arrived, damaged, expected",Product Team Review
P001180,Astra Question,Groceries,Astra,21.71,3.33,,3,"expected, quality, poor",Product Team Review
P001915,Solace Or,Groceries,Solace,2.41,3.2,3.0,3,"arrived, damaged, expected",Product Team Review
P000293,Astra Season,Sports,Astra,122.71,3.36,4.0,3,"expected, quality, poor",Product Team Review
P001623,Solace Support,Toys,Solace,82.98,3.44,,3,"arrived, damaged, expected",Product Team Review
P001920,Pulse Against,Sports,Pulse,175.83,3.43,,3,"arrived, damaged, expected",Product Team Review
P000054,GreenLeaf Hair,Automotive,GreenLeaf,435.87,2.8,3.0,3,"expected, quality, poor",Product Team Review
P000187,Harbor For,Sports,Harbor,134.5,3.17,,3,"arrived, damaged, expected",Product Team Review
P001628,Zenith Necessary,Electronics,Zenith,473.62,2.88,,3,"arrived, damaged, expected",Product Team Review
P000392,Nimbus Subject,Home & Kitchen,Nimbus,387.23,3.5,,3,"expected, quality, poor",Product Team Review
P001134,NeoTech Son,Beauty,NeoTech,145.87,2.8,1.0,3,"expected, quality, poor",Product Team Review
P001593,Harbor Eat,Clothing,Harbor,181.12,3.22,,3,"arrived, damaged, expected",Product Team Review
P001484,Astra Key,Electronics,Astra,475.65,3.14,,3,"expected, quality, poor",Product Team Review
P000133,Solace Team,Pet Supplies,Solace,25.97,3.64,,3,"expected, quality, poor",Product Team Review
P000599,Nimbus Analysis,Groceries,Nimbus,11.71,3.2,,3,"expected, quality, poor",Product Team Review
P000610,GreenLeaf Side,Home & Kitchen,GreenLeaf,101.29,3.53,3.5,3,"expected, quality, poor",Product Team Review
P001565,Pulse Decision,Toys,Pulse,50.01,3.3,,3,"arrived, damaged, expected",Product Team Review
P001794,Willow Treatment,Automotive,Willow,576.97,3.11,,3,"arrived, damaged, expected",Product Team Review
P001488,Zenith Like,Books,Zenith,46.59,3.4,5.0,3,"arrived, damaged, expected",Product Team Review
P001572,Everest Stop,Pet Supplies,Everest,67.51,3.73,,3,"expected, quality, poor",Product Team Review
P001069,Nimbus Cost,Electronics,Nimbus,250.79,3.0,2.0,3,"arrived, damaged, expected",Product Team Review
P001111,Pulse Indeed,Beauty,Pulse,103.67,3.38,,3,"arrived, damaged, expected",Product Team Review
P001034,Nimbus Imagine,Home & Kitchen,Nimbus,15.62,3.38,,3,"arrived, damaged, expected",Product Team Review
P001841,Willow Local,Toys,Willow,58.53,3.42,,3,"expected, quality, poor",Product Team Review
P000104,Solace Interesting,Beauty,Solace,40.38,3.42,,3,"arrived, damaged, expected",Product Team Review
P000102,Pulse Surface,Groceries,Pulse,6.16,3.6,5.0,3,"expected, quality, poor",Product Team Review
P001460,Solace Top,Pet Supplies,Solace,46.12,2.5,,3,"arrived, damaged, expected",Product Team Review
P001133,GreenLeaf High,Electronics,GreenLeaf,521.0,3.56,,3,"expected, quality, poor",Product Team Review
P001853,Orion After,Electronics,Orion,351.45,3.43,,3,"arrived, damaged",Product Team Review
P001449,Pulse Weight,Automotive,Pulse,354.29,2.33,,3,"expected, quality, poor",Product Team Review
P000384,Nimbus Take,Automotive,Nimbus,596.56,3.31,5.0,3,"expected, quality, poor",Product Team Review
P001359,Orion Strategy,Beauty,Orion,100.06,3.45,3.0,3,"arrived, damaged",Product Team Review
P000892,GreenLeaf Measure,Toys,GreenLeaf,67.1,3.29,,3,"expected, quality, poor",Product Team Review
P000263,Solace Most,Groceries,Solace,12.76,3.33,,3,"expected, quality, poor",Product Team Review
P001328,NeoTech Act,Toys,NeoTech,31.04,3.45,3.0,3,"arrived, damaged, expected",Product Team Review
P001257,Nimbus Small,Automotive,Nimbus,854.8,3.33,4.0,3,"arrived, damaged",Product Team Review
P000982,NeoTech Agent,Pet Supplies,NeoTech,64.46,3.22,,3,"expected, quality, poor",Product Team Review
P001641,NeoTech Purpose,Automotive,NeoTech,705.88,3.15,4.0,3,"arrived, damaged",Product Team Review
P000505,Solace Future,Books,Solace,42.15,3.78,3.5,3,"expected, quality, poor",Product Team Review
P001647,Acme It,Clothing,Acme,118.8,3.27,,3,"expected, quality, poor",Product Team Review
P001223,GreenLeaf Age,Books,GreenLeaf,46.87,2.88,1.0,3,"expected, quality, poor",Product Team Review
P001959,Everest Television,Automotive,Everest,120.33,3.82,5.0,3,"expected, quality, poor",Product Team Review
P001200,Nimbus Us,Toys,Nimbus,134.65,3.5,5.0,3,"expected, quality, poor",Product Team Review
P000643,Willow Age,Clothing,Willow,105.35,3.45,,3,"expected, quality, poor",Product Team Review
P001683,NeoTech Make,Sports,NeoTech,71.52,3.0,,3,"expected, quality, poor",Product Team Review
P001972,Pulse Establish,Pet Supplies,Pulse,38.53,3.12,,3,"expected, quality, poor",Product Team Review
P001719,Zenith Natural,Home & Kitchen,Zenith,268.64,3.36,2.0,3,"expected, quality, poor",Product Team Review
P000191,GreenLeaf Produce,Toys,GreenLeaf,47.14,3.67,,3,"arrived, damaged, expected",Product Team Review
P001975,Orion Mouth,Sports,Orion,278.14,3.43,,3,"arrived, damaged, expected",Product Team Review
P001330,NeoTech Hair,Pet Supplies,NeoTech,65.37,2.89,2.0,3,"expected, quality, poor",Product Team Review
P000258,Orion Trouble,Groceries,Orion,11.34,3.0,,3,"arrived, damaged, expected",Product Team Review
P000996,Harbor Source,Clothing,Harbor,54.74,3.25,,3,"expected, quality, poor",Product Team Review
P000780,Nimbus Condition,Toys,Nimbus,42.19,3.42,3.0,3,"arrived, damaged",Product Team Review
P001695,Pulse Look,Groceries,Pulse,11.71,3.3,,3,"arrived, damaged, expected",Product Team Review
P000193,Everest Nearly,Automotive,Everest,794.73,3.43,,3,"arrived, damaged, expected",Product Team Review
P001674,Orion Ahead,Electronics,Orion,786.4,3.88,,2,"expected, quality, poor",Product Team Review
P000231,Zenith Behavior,Electronics,Zenith,178.96,2.75,,2,"expected, quality, poor",Product Team Review
P001057,Acme Up,Automotive,Acme,538.47,3.71,,2,"arrived, damaged",Product Team Review
P001059,Harbor Third,Beauty,Harbor,64.95,3.36,2.0,2,"arrived, damaged, expected",Product Team Review
P001579,Willow Know,Automotive,Willow,124.87,4.09,3.0,2,"expected, quality, poor",Product Team Review
P000304,Willow Site,Clothing,Willow,120.82,3.36,,2,"expected, quality, poor",Product Team Review
P001576,Nimbus Treat,Sports,Nimbus,51.04,3.9,3.0,2,"arrived, damaged, expected",Product Team Review
P001653,Nimbus Control,Electronics,Nimbus,1187.64,3.88,,2,"expected, quality, poor",Product Team Review
P001013,Willow Spring,Automotive,Willow,1047.18,3.57,,2,"arrived, damaged",Product Team Review
P001681,Astra Compare,Books,Astra,6.08,3.86,,2,"arrived, damaged, expected",Product Team Review
P001675,Solace Majority,Groceries,Solace,5.2,3.0,,2,"arrived, damaged",Product Team Review
P001575,Nimbus Approach,Groceries,Nimbus,32.63,3.83,,2,"expected, quality, poor",Product Team Review
P001070,Harbor Which,Home & Kitchen,Harbor,152.24,3.92,,2,"arrived, damaged, expected",Product Team Review
P001056,Willow Around,Beauty,Willow,32.02,3.14,3.0,2,"expected, quality, poor",Product Team Review
P001566,Willow Entire,Groceries,Willow,23.71,3.5,,2,"expected, quality, poor",Product Team Review
P000227,Solace Risk,Home & Kitchen,Solace,238.61,4.0,5.0,2,"expected, quality, poor",Product Team Review
P000226,Solace School,Clothing,Solace,118.33,3.43,3.0,2,"expected, quality, poor",Product Team Review
P000614,Solace Car,Clothing,Solace,135.38,3.0,,2,"expected, quality, poor",Product Team Review
P001081,Astra Act,Electronics,Astra,985.35,3.4,,2,"arrived, damaged",Product Team Review
P000320,Zenith Religious,Clothing,Zenith,47.88,3.45,2.0,2,"arrived, damaged",Product Team Review
P000321,Pulse Month,Groceries,Pulse,8.99,3.8,,2,"arrived, damaged, expected",Product Team Review
P001082,Orion Night,Groceries,Orion,1.78,3.2,,2,"arrived, damaged",Product Team Review
P000609,Zenith Nation,Books,Zenith,42.5,3.56,,2,"expected, quality, poor",Product Team Review
P001651,Acme Those,Toys,Acme,109.53,3.71,5.0,2,"arrived, damaged",Product Team Review
P000626,NeoTech Practice,Home & Kitchen,NeoTech,59.97,3.29,,2,"arrived, damaged, expected",Product Team Review
P001055,Harbor Wonder,Clothing,Harbor,123.01,3.5,4.0,2,"expected, quality, poor",Product Team Review
P001648,Everest Even,Beauty,Everest,124.31,3.0,,2,"arrived, damaged, expected",Product Team Review
P000266,Astra Success,Home & Kitchen,Astra,45.35,3.38,2.0,2,"arrived, damaged",Product Team Review
P001625,Harbor Sort,Clothing,Harbor,146.81,2.71,,2,"expected, quality, poor",Product Team Review
P000262,Astra Hear,Home & Kitchen,Astra,186.4,2.86,3.0,2,"expected, quality, poor",Product Team Review
P001624,Pulse Join,Clothing,Pulse,50.81,3.25,,2,"expected, quality, poor",Product Team Review
P001622,Willow Break,Beauty,Willow,5.29,3.0,,2,"expected, quality, poor",Product Team Review
P001036,Pulse Security,Electronics,Pulse,1075.65,3.88,,2,"expected, quality, poor",Product Team Review
P000636,GreenLeaf Save,Automotive,GreenLeaf,94.4,3.23,2.0,2,"arrived, damaged, expected",Product Team Review
P000273,Willow Seem,Automotive,Willow,913.33,3.86,,2,"expected, quality, poor",Product Team Review
P001615,NeoTech Camera,Automotive,NeoTech,74.61,2.67,4.0,2,"arrived, damaged",Product Team Review
P000276,Solace Travel,Automotive,Solace,297.47,3.43,,2,"arrived, damaged",Product Team Review
P001610,Everest Republican,Pet Supplies,Everest,77.46,3.75,3.5,2,"expected, quality, poor",Product Team Review
P000280,Zenith Cold,Groceries,Zenith,23.41,3.75,,2,"arrived, damaged",Product Team Review
P001044,Nimbus Every,Home & Kitchen,Nimbus,90.82,3.6,,2,"expected, quality, poor",Product Team Review
P001607,Solace Institution,Beauty,Solace,65.0,3.0,,2,"expected, quality, poor",Product Team Review
P001605,Harbor Picture,Electronics,Harbor,492.64,3.5,,2,"arrived, damaged",Product Team Review
P001601,GreenLeaf Wall,Clothing,GreenLeaf,93.07,3.43,4.0,2,"arrived, damaged",Product Team Review
P001599,Willow Report,Books,Willow,63.33,3.0,3.0,2,"arrived, damaged, expected",Product Team Review
P000629,Willow A,Sports,Willow,210.39,3.2,,2,"expected, quality, poor",Product Team Review
P000290,Acme Board,Pet Supplies,Acme,44.33,3.33,,2,"expected, quality, poor",Product Team Review
P000291,Nimbus Goal,Books,Nimbus,50.3,3.0,2.0,2,"arrived, damaged, expected",Product Team Review
P001644,Acme Field,Beauty,Acme,157.79,3.85,,2,"expected, quality, poor",Product Team Review
P000628,Astra Small,Electronics,Astra,612.23,4.14,,2,"expected, quality, poor",Product Team Review
P000294,Zenith Recently,Automotive,Zenith,543.31,3.56,,2,"arrived, damaged",Product Team Review
P000247,Solace Finish,Books,Solace,10.2,3.67,,2,"arrived, damaged, expected",Product Team Review
P001053,NeoTech Market,Beauty,NeoTech,108.8,3.0,,2,"expected, quality, poor",Product Team Review
P000246,Willow Because,Automotive,Willow,216.58,3.14,,2,"arrived, damaged, expected",Product Team Review
P001588,GreenLeaf Without,Beauty,GreenLeaf,132.56,3.73,,2,"arrived, damaged",Product Team Review
P000245,Astra Get,Home & Kitchen,Astra,221.48,3.83,,2,"expected, quality, poor",Product Team Review
P000332,GreenLeaf Painting,Beauty,GreenLeaf,33.02,3.85,3.0,2,"arrived, damaged",Product Team Review
P000251,Solace Bill,Beauty,Solace,64.82,3.64,,2,"arrived, damaged, expected",Product Team Review
P000602,Nimbus Word,Toys,Nimbus,52.18,3.33,3.0,2,"expected, quality, poor",Product Team Review
P000520,Acme Appear,Beauty,Acme,161.29,2.6,4.0,2,"arrived, damaged",Product Team Review
P001221,NeoTech Job,Clothing,NeoTech,79.93,3.5,,2,"expected, quality, poor",Product Team Review
P000524,Everest Station,Toys,Everest,71.29,3.5,,2,"expected, quality, poor",Product Team Review
P000458,Everest Black,Electronics,Everest,982.1,3.58,4.0,2,"arrived, damaged",Product Team Review
P001338,Astra Key,Beauty,Astra,54.86,3.6,,2,"expected, quality, poor",Product Team Review
P000452,Zenith Total,Books,Zenith,37.56,3.22,,2,"expected, quality, poor",Product Team Review
P000529,Willow Out,Books,Willow,57.18,3.3,4.0,2,"expected, quality, poor",Product Team Review
